,Date,ITS_LIVE Mean Velocity,Mask Ratio
394,2019-04-21,1722.0,0.821
395,2019-04-30,1461.3,0.925
396,2019-05-02,1807.2,0.967
398,2019-05-03,1791.1,0.984
399,2019-05-04,1666.5,0.958
401,2019-05-05,1673.8,0.928
402,2019-05-06,1812.6,0.856
403,2019-05-07,1910.7,0.974
408,2019-05-09,1714.0,0.859
409,2019-05-12,1619.3,0.8
410,2019-05-13,1732.1,0.986
413,2019-05-14,1693.3,0.926
415,2019-05-15,1703.9,0.897
419,2019-05-17,1730.9,0.925
425,2019-05-18,1856.9,0.993
429,2019-05-20,1838.5,0.872
433,2019-05-21,1549.9,0.807
434,2019-05-22,1873.1,0.999
436,2019-05-23,1955.7,0.96
441,2019-05-24,1858.1,0.867
446,2019-05-25,1928.4,0.856
452,2019-05-27,1849.7,0.925
455,2019-05-28,1907.6,0.911
462,2019-05-30,1761.4,0.931
464,2019-06-02,1988.3,0.959
466,2019-06-03,1750.3,0.928
468,2019-06-05,1637.8,0.93
469,2019-06-06,1870.3,0.819
472,2019-06-11,2128.5,0.889
474,2019-06-14,2185.8,0.859
477,2019-06-18,1757.4,0.801
478,2019-06-21,1688.8,0.827
480,2019-06-22,1901.7,0.917
484,2019-06-24,1744.0,0.811
488,2019-06-27,1901.7,0.912
492,2019-06-28,1730.4,0.874
493,2019-06-29,1783.4,0.85
497,2019-07-02,1920.3,0.856
501,2019-07-04,1740.6,0.922
506,2019-07-05,1730.9,0.848
507,2019-07-06,1991.0,0.885
509,2019-07-07,1902.2,0.895
513,2019-07-08,1884.4,0.849
516,2019-07-11,1895.8,0.957
518,2019-07-14,1897.1,0.899
521,2019-07-16,1706.3,0.889
525,2019-07-19,1834.4,0.876
528,2019-07-21,1694.4,0.909
531,2019-07-23,1733.0,0.816
532,2019-07-24,1870.8,0.917
535,2019-07-26,1763.2,0.85
539,2019-07-27,1835.0,0.903
546,2019-07-29,1865.0,0.913
551,2019-07-31,1890.9,0.869
556,2019-08-01,1894.1,0.906
561,2019-08-03,1760.5,0.944
569,2019-08-04,1617.8,0.867
570,2019-08-05,1624.7,0.878
573,2019-08-06,1735.1,0.99
577,2019-08-07,1617.1,0.909
579,2019-08-08,1757.6,0.96
586,2019-08-09,1581.8,0.899
587,2019-08-10,1710.2,0.905
591,2019-08-11,1786.1,0.981
597,2019-08-13,1616.6,0.975
604,2019-08-15,1689.2,0.983
609,2019-08-16,1639.4,0.983
614,2019-08-18,1512.5,0.915
616,2019-08-20,1482.1,0.851
619,2019-08-21,1644.3,0.942
624,2019-08-22,1430.8,0.925
627,2019-08-23,1606.1,0.904
629,2019-08-25,1398.9,0.852
632,2019-08-28,1531.2,0.976
636,2019-08-30,1576.7,0.945
640,2019-09-01,1468.4,0.876
642,2019-09-02,1358.1,0.887
648,2019-09-04,1638.6,0.898
653,2019-09-06,1506.1,0.868
656,2019-09-07,1599.0,0.946
658,2019-09-08,1506.9,0.896
659,2019-09-09,1531.2,0.948
663,2019-09-12,1452.8,0.88
664,2019-09-14,1401.4,0.957
668,2019-09-15,1410.1,0.921
669,2019-09-18,1445.6,0.858
670,2019-09-20,1526.8,0.912
671,2019-09-21,1464.9,0.944
672,2019-09-22,1514.7,0.927
674,2019-09-24,1593.1,0.857
675,2019-09-26,1544.6,0.926
676,2019-09-27,1493.0,0.855
677,2019-09-30,1460.4,0.848
678,2019-10-02,1467.1,0.903
679,2019-10-03,1495.6,0.888
680,2019-10-06,1690.3,0.873
681,2019-10-07,1738.7,0.925
